Judul Ads,Grade Score - V3,Ad Spend,Impressions,3s View,50% View,Link Click,LP View,Conversions,Campaign Conversions,Revenue,Hook Quality,Content Quality,Clickability,LP Match Rate,RoAS CC,Ads Grade - V3,Hook Grade,Content Grade,Video Clickability Grade,LP Match Grade (REVISI),Offer Quality Grade,Reported V3
Talent - Jessica -  Kenapa Diabetesi Harus Pilih mGanik Superfood? - Superfood,0%,"IDR 45,542.00",469,168,29,11,8,0,88,IDR 0.00,35.8208955224%,17.2619047619%,2.3454157783%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Pufi - Dewi Yull - Mamaku Dipanggil Allah Karena Diabetes - Superfood,0%,"IDR 12,498.00",122,35,7,2,2,0,162,IDR 0.00,28.6885245902%,20%,1.6393442623%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Pufi - Dewi Yull - Kehilangan Sosok Mama - Superfood,0%,"IDR 7,970.00",70,33,4,0,0,0,162,IDR 0.00,47.1428571429%,12.1212121212%,0%,,0%,⬛️⬛️⬛️ F,🟢🟢 Very Good,🔴 Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Kompilasi - Customer - Testimoni Customer with M3P - 3Peptide,0%,"IDR 40,295.00",973,0,0,12,5,0,178,IDR 0.00,0%,,1.233299075%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
No Talent - Testimoni WA group (Angle : Anda kapan?) - Superfood,0%,"IDR 4,188.00",22,0,0,0,0,0,88,IDR 0.00,0%,,0%,,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Expert - dr. Delia - Blog Turunkan Gula Apa Cukup dengan Jaga Pola Makan? - Superfood,0%,"IDR 25,126.00",675,0,0,19,11,0,156,IDR 0.00,0%,,2.8148148148%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Talent - Jessica - Diabetes boleh makan nasi gak? (Mirror IG) - Metafiber,0%,"IDR 13,048.00",242,94,40,5,4,0,338,IDR 0.00,38.8429752066%,42.5531914894%,2.0661157025%,0%,0%,⬛️⬛️⬛️ F,🟢 Good,🟢 Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Customer - Yongki - Hipertensi Terkendali - 3Peptide,0%,"IDR 116,967.00","1,860",0,0,17,8,0,206,IDR 0.00,0%,,0.9139784946%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Customer - Ibu Erwin - Gula Darah Aman Walau Keturunan Diabet - Superfood,0%,"IDR 17,791.00",217,0,0,8,3,0,162,IDR 0.00,0%,,3.6866359447%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Customer - Ibu Erwin - Saat Mau Operasi Ternyata Ada Diabetes (Cutdown) - Superfood,0%,"IDR 2,228.00",45,17,2,2,0,0,162,IDR 0.00,37.7777777778%,11.7647058824%,4.4444444444%,,0%,⬛️⬛️⬛️ F,🟡 Neutral,🔴 Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Customer - Ibu Erwin - Lepas Obat Diabetes (Cutdown) - Metafiber,0%,IDR 40.00,1,0,0,0,0,0,524,IDR 0.00,0%,,0%,,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Customer - Ibu Erwin - Gula Darah Turun Stabil - Metafiber,0%,"IDR 61,341.00","1,826",0,0,42,24,0,524,IDR 0.00,0%,,2.300109529%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Talent - Fitriya - 30 Detik Sarapan Bebas Diabetes - SF Pumpkin,0%,"IDR 1,989.00",19,5,2,1,0,0,88,IDR 0.00,26.3157894737%,40%,5.2631578947%,,0%,⬛️⬛️⬛️ F,🔴 Bad,🟢 Good,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Talent - Fitrya - 30 Detik Sarapan Bebas Diabetes - SF Kurma,0%,"IDR 41,701.00",241,71,24,3,3,0,88,"IDR 299,000.00",29.4605809129%,33.8028169014%,1.244813278%,0%,717.009184432%,⬛️⬛️⬛️ F,🟡 Neutral,🟢 Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Customer - Yongki - Tensi Stabil - 3Peptide,0%,"IDR 22,024.00",309,0,0,4,3,0,206,IDR 0.00,0%,,1.2944983819%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
No Talent - Ide Sarapan Roti Isi - Superfood,0%,"IDR 128,655.00","3,970","1,721",313,104,37,0,88,IDR 0.00,43.3501259446%,18.187100523%,2.6196473552%,0%,0%,⬛️⬛️⬛️ F,🟢🟢 Very Good,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Talent - Fitriya - Tips Pilih Camilan di Supermarket (Mirror IG) - Metafiber,0%,"IDR 207,655.00","2,885",700,232,50,23,0,338,IDR 0.00,24.2634315425%,33.1428571429%,1.733102253%,0%,0%,⬛️⬛️⬛️ F,🔴 Bad,🟢 Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Talent - Fitriya - Tips Pilih Camilan di Supermarket (Mirror IG) - Superfood,0%,"IDR 34,042.00",415,108,38,8,4,0,156,IDR 0.00,26.0240963855%,35.1851851852%,1.9277108434%,0%,0%,⬛️⬛️⬛️ F,🔴 Bad,🟢 Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
No Talent - Resep Kentang Brokoli Baked - Metafiber,0%,"IDR 4,307.00",100,36,8,2,1,0,338,IDR 0.00,36%,22.2222222222%,2%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Customer - Yudha  B. Setiawan - Luka Digigit Kucing (Vidcall) - Metafiber,0%,"IDR 1,080.00",7,2,1,0,0,0,524,IDR 0.00,28.5714285714%,50%,0%,,0%,⬛️⬛️⬛️ F,🔴 Bad,🟢🟢 Very Good,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Customer - Aty Sukarman - Terkena Diabetes Sebelum Haji (Vidcall) - Metafiber,0%,"IDR 2,660.00",61,15,2,1,1,0,524,IDR 0.00,24.5901639344%,13.3333333333%,1.6393442623%,0%,0%,⬛️⬛️⬛️ F,🔴 Bad,🔴 Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Customer - Muhammad Yusuf - Diabetes Karena Gorengan (Vidcall) - Superfood,0%,"IDR 15,329.00",175,47,7,5,1,0,162,IDR 0.00,26.8571428571%,14.8936170213%,2.8571428571%,0%,0%,⬛️⬛️⬛️ F,🔴 Bad,🔴 Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Kompilasi - Customer - Motion Kompilasi Jutaan Pejuang Diabetes - Metafiber,0%,"IDR 27,814.00",269,77,38,2,1,0,451,IDR 0.00,28.624535316%,49.3506493506%,0.7434944238%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🟢🟢 Very Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Customer - Ibu Yuliana - Tensi dan Kolestrol Turun - 3Peptide,0%,"IDR 4,599.00",52,10,2,2,0,0,206,IDR 0.00,19.2307692308%,20%,3.8461538462%,,0%,⬛️⬛️⬛️ F,🔴 Bad,🟡 Neutral,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Customer - Wildana Rahayu - Hobi Ngemil Berujung Diabetes (Vidcall) - Superfood,0%,IDR 496.00,17,8,1,1,0,0,162,IDR 0.00,47.0588235294%,12.5%,5.8823529412%,,0%,⬛️⬛️⬛️ F,🟢 Good,🔴 Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Expert - dr. Raphael - Semangat Remisi Diabetes - Superfood,0%,"IDR 9,338.00",145,28,9,3,3,0,156,IDR 0.00,19.3103448276%,32.1428571429%,2.0689655172%,0%,0%,⬛️⬛️⬛️ F,🔴 Bad,🟢 Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
No Talent - Pesan di Mitra Resmi mGanik -  Superfood,0%,"IDR 10,652.00",187,0,0,1,1,0,155,IDR 0.00,0%,,0.5347593583%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
No Talent - Pesan di Mitra Resmi mGanik - Metafiber,0%,"IDR 16,133.00",374,0,0,4,2,0,321,IDR 0.00,0%,,1.0695187166%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
No Talent - Testimoni WA group (Angle: Anda kapan?) - Metafiber,0%,"IDR 4,875.00",73,0,0,1,0,0,257,IDR 0.00,0%,,1.3698630137%,,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Expert - dr. Alius - Komplikasi Jantung bisa Dihindari - 3Peptide,0%,"IDR 24,365.00",927,0,0,35,16,0,313,IDR 0.00,0%,,3.7756202805%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Expert - dr. Raphael - Semangat Remisi Diabetes - Metafiber,0%,"IDR 2,340.00",46,14,2,0,0,0,338,IDR 0.00,30.4347826087%,14.2857142857%,0%,,0%,⬛️⬛️⬛️ F,🟡 Neutral,🔴 Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Expert - dr. Raphael Cara untuk Remisi Diabetes - Metafiber,0%,"IDR 98,420.00","2,804",0,0,57,34,0,338,IDR 0.00,0%,,2.032810271%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
No Talent - Beli mGanik 3Peptide bisa Gratis Ongkir - 3Peptide,0%,"IDR 19,315.00",363,0,0,6,5,0,195,IDR 0.00,0%,,1.652892562%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
No Talent - Pesan dengan Agen Resmi mGanik di Kota Anda - 3Peptide,0%,"IDR 5,850.00",249,0,0,0,0,0,195,IDR 0.00,0%,,0%,,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
No Talent - mGanik telah Hadir di Indonesia - Metafiber,0%,"IDR 48,708.00",966,0,0,9,5,0,321,IDR 0.00,0%,,0.9316770186%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
No Talent - Beli mGanik Metafiber bisa Gratis Ongkir - Metafiber,0%,"IDR 44,464.00","1,105",0,0,22,7,0,321,IDR 0.00,0%,,1.9909502262%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
No Talent - mGanik telah Hadir di Indonesia - Multigrain,0%,"IDR 12,180.00",323,0,0,6,2,0,155,IDR 0.00,0%,,1.8575851393%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
No Talent - Beli mGanik Multigrain bisa Gratis Ongkir - Multigrain,0%,"IDR 9,710.00",194,0,0,1,1,0,155,IDR 0.00,0%,,0.5154639175%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Customer - Nuryati Pogok - Bebas Ketergantungan Obat Gula (Chat) - Superfood,0%,"IDR 3,799.00",70,0,0,0,0,0,162,IDR 0.00,0%,,0%,,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
No Talent - mGanik telah Hadir di Indonesia - 3Peptide,0%,"IDR 18,358.00",379,0,0,3,1,0,195,IDR 0.00,0%,,0.7915567282%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
No Talent - Apa Beda Multigrain & Metafiber? - Metafiber,0%,"IDR 5,115.00",42,0,0,0,0,0,257,IDR 0.00,0%,,0%,,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
No Talent - Aman Buat Lambung & Ketergantungan? - Metafiber,0%,IDR 105.00,7,0,0,0,0,0,257,IDR 0.00,0%,,0%,,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
No Talent - Apakah 3Peptide Aman Diminum Bersama Obat Lain? - 3Peptide,0%,"IDR 4,089.00",102,0,0,0,0,0,178,IDR 0.00,0%,,0%,,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL User - Azzahra Nanda - Diabetes sejak kecil  - Multigrain,0%,"IDR 8,307.00",99,55,14,1,0,0,162,IDR 0.00,55.5555555556%,25.4545454545%,1.0101010101%,,0%,⬛️⬛️⬛️ F,🟢🟢 Very Good,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL User - Azzahra Nanda - Tetap Bisa Makan Nasi - Metafiber,0%,"IDR 8,544.00",80,16,3,2,2,0,524,IDR 0.00,20%,18.75%,2.5%,0%,0%,⬛️⬛️⬛️ F,🔴 Bad,🟡 Neutral,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
No Talent - Jaminan Berhasil Gula Darah Turun - Metafiber,0%,"IDR 1,166.00",16,0,0,1,1,0,257,IDR 0.00,0%,,6.25%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL User - Tiara Shalsah - Gak Khawatir Salah Makan - Metafiber,0%,IDR 463.00,9,1,1,0,0,0,524,IDR 0.00,11.1111111111%,100%,0%,,0%,⬛️⬛️⬛️ F,🔴🔴 Very Bad,🟢🟢 Very Good,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL Expert - Ryan - Cara Mengatasi Hipertensi - 3Peptide,0%,"IDR 32,192.00",968,212,24,4,0,0,313,IDR 0.00,21.9008264463%,11.320754717%,0.4132231405%,,0%,⬛️⬛️⬛️ F,🔴 Bad,🔴 Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
No Talent - Turunkan Gula Dalam 2 Minggu - Metafiber,0%,IDR 850.00,17,0,0,0,0,0,257,IDR 0.00,0%,,0%,,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL User - Bapak GBD - Kepala Batu Soal Manis-Manis - Metafiber,0%,"IDR 52,338.00",278,141,47,6,3,0,524,IDR 0.00,50.7194244604%,33.3333333333%,2.1582733813%,0%,0%,⬛️⬛️⬛️ F,🟢🟢 Very Good,🟢 Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
No Talent - Jaminan Berhasil Gula Darah Turun - Multigrain,0%,"IDR 2,109.00",23,0,0,2,1,0,88,IDR 0.00,0%,,8.6956521739%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
No Talent - Dijamin Aman Dikonsumsi Jangka Panjang - 3Peptide,0%,"IDR 1,879.00",126,0,0,1,0,0,178,IDR 0.00,0%,,0.7936507937%,,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL User - Nana - A Day in My Life Diabetes Tipe 2 - Metafiber,0%,"IDR 2,949.00",13,6,0,0,0,0,524,IDR 0.00,46.1538461538%,0%,0%,,0%,⬛️⬛️⬛️ F,🟢 Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Pufi - Vina Panduwinata - Full Version DVC Mama Ina - Metafiber,0%,IDR 368.00,2,1,1,0,0,0,338,IDR 0.00,50%,100%,0%,,0%,⬛️⬛️⬛️ F,🟢🟢 Very Good,🟢🟢 Very Good,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
No Talent - Jaminan Berhasil Tekanan Darah Turun - 3Peptide,0%,"IDR 4,753.00",83,0,0,0,0,0,178,IDR 0.00,0%,,0%,,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL Expert - Nindy Dea - Jangan Sepelehkan Hipertensi - 3Peptide,0%,"IDR 24,004.00",262,56,6,3,1,0,313,IDR 0.00,21.3740458015%,10.7142857143%,1.1450381679%,0%,0%,⬛️⬛️⬛️ F,🔴 Bad,🔴 Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL Expert - Puspa - Apa yang menyebabkan gula darah tinggi - Metafiber,0%,"IDR 4,031.00",52,16,1,0,0,0,338,IDR 0.00,30.7692307692%,6.25%,0%,,0%,⬛️⬛️⬛️ F,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL Expert - Audy Apriliana - Jadwal Makan Diabetesi yang Dianjurkan - Multigrain,0%,"IDR 12,386.00",90,37,13,3,3,0,156,IDR 0.00,41.1111111111%,35.1351351351%,3.3333333333%,0%,0%,⬛️⬛️⬛️ F,🟢 Good,🟢 Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL Expert - Puspa Mayang - Nasi Panas Meningkatkan Gula Darah - Metafiber,0%,"IDR 8,406.00",116,37,8,0,0,0,338,IDR 0.00,31.8965517241%,21.6216216216%,0%,,0%,⬛️⬛️⬛️ F,🟡 Neutral,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL Expert - Bodyfit Bagus - Diabetes Bukan Hanya Faktor Umur - Multigrain,0%,"IDR 28,401.00",245,72,10,4,0,0,156,IDR 0.00,29.387755102%,13.8888888889%,1.6326530612%,,0%,⬛️⬛️⬛️ F,🟡 Neutral,🔴 Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL User - Siskatech - Siapa Yang Gula Darah Tinggi Setelah Makan? - Metafiber,0%,"IDR 2,459.00",31,13,0,0,0,0,524,IDR 0.00,41.935483871%,0%,0%,,0%,⬛️⬛️⬛️ F,🟢 Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL Expert - Yuni Sara - Diabetes Indonesia Nomor 7 - Multigrain,0%,IDR 148.00,3,1,0,0,0,0,156,IDR 0.00,33.3333333333%,0%,0%,,0%,⬛️⬛️⬛️ F,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL User - Mutiara Adha - What I Eat in a Day Diabetes - Metafiber,0%,"IDR 7,364.00",66,25,5,1,0,0,524,IDR 0.00,37.8787878788%,20%,1.5151515152%,,0%,⬛️⬛️⬛️ F,🟡 Neutral,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL Expert - Maria Novilia - Kalo Dibayangan Kalian Hipertensi - 3Peptide,0%,"IDR 4,171.00",21,4,0,0,0,0,313,IDR 0.00,19.0476190476%,0%,0%,,0%,⬛️⬛️⬛️ F,🔴🔴 Very Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL Expert -  Angel Jovi - Diet 3J Pada Diabetesi - Multigrain,0%,"IDR 2,317.00",91,11,2,1,0,0,156,IDR 0.00,12.0879120879%,18.1818181818%,1.0989010989%,,0%,⬛️⬛️⬛️ F,🔴🔴 Very Bad,🟡 Neutral,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Kompilasi - Customer - Lepas Obat - Metafiber,0%,IDR 945.00,31,10,0,1,0,0,451,IDR 0.00,32.2580645161%,0%,3.2258064516%,,0%,⬛️⬛️⬛️ F,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Kompilasi - Customer - Lepas Obat - Multigrain,0%,"IDR 19,895.00",352,144,7,3,1,0,147,"IDR 867,000.00",40.9090909091%,4.8611111111%,0.8522727273%,0%,4357.8788640362%,⬛️⬛️⬛️ F,🟢 Good,🔴🔴 Very Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL Expert - Ndaru Widianto - Kematian Akibat Tekanan Darah Tinggi - 3Peptide,0%,"IDR 47,902.00",810,234,14,9,0,0,313,IDR 0.00,28.8888888889%,5.9829059829%,1.1111111111%,,0%,⬛️⬛️⬛️ F,🟡 Neutral,🔴🔴 Very Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Kompilasi - Expert - Perubahan Pola Makan Diabetesi - Metafiber,0%,IDR 929.00,37,8,2,0,0,0,451,IDR 0.00,21.6216216216%,25%,0%,,0%,⬛️⬛️⬛️ F,🔴 Bad,🟡 Neutral,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL User - Rizal Muhsin - Terong Balado Buat Penderita Diabetes - Metafiber,0%,IDR 385.00,12,4,1,0,0,0,524,IDR 0.00,33.3333333333%,25%,0%,,0%,⬛️⬛️⬛️ F,🟡 Neutral,🟡 Neutral,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
"KOL Expert - Syahrul Falah Rachmadani - 34,1% Warga Indonesia Hipertensi - 3Peptide",0%,"IDR 17,297.00",141,49,6,1,0,0,313,IDR 0.00,34.7517730496%,12.2448979592%,0.7092198582%,,0%,⬛️⬛️⬛️ F,🟡 Neutral,🔴 Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL Expert - Muhammad Abdullah A - Ciri-ciri Terkena Diabetes - Metafiber,0%,"IDR 10,686.00",148,53,9,4,1,0,338,IDR 0.00,35.8108108108%,16.9811320755%,2.7027027027%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL Expert - Regina Dwi Valent - Penderita Diabetes Rawan Lonjakan Gula - Metafiber,0%,"IDR 12,704.00",164,47,4,1,1,0,338,IDR 0.00,28.6585365854%,8.5106382979%,0.6097560976%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL User - Yunita Balqis  - Resep Makanan Sehat untuk Diabetesi - Metafiber,0%,IDR 734.00,16,6,2,0,0,0,524,IDR 0.00,37.5%,33.3333333333%,0%,,0%,⬛️⬛️⬛️ F,🟡 Neutral,🟢 Good,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL Expert - Agnestasia Widia - Setiap Orang Terkena Hipertensi? - 3Peptide,0%,"IDR 53,275.00","1,168",403,40,12,7,0,313,IDR 0.00,34.5034246575%,9.9255583127%,1.0273972603%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🔴 Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Customer - Juli Puspitasari - Turun Dosis Insulin (Vidcall) - Multigrain,0%,"IDR 2,079.00",43,15,3,0,0,0,162,IDR 0.00,34.8837209302%,20%,0%,,0%,⬛️⬛️⬛️ F,🟡 Neutral,🟡 Neutral,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL User - Maulida Ramadhani - Ibu Bumil Jaga Gula - Multigrain,0%,"IDR 6,396.00",118,31,5,1,0,0,162,IDR 0.00,26.2711864407%,16.1290322581%,0.8474576271%,,0%,⬛️⬛️⬛️ F,🔴 Bad,🔴 Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL User - Prisma Difta - Kakung & Uti Sarapan Sehat - Multigrain,0%,"IDR 9,712.00",91,29,3,4,1,0,162,IDR 0.00,31.8681318681%,10.3448275862%,4.3956043956%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🔴 Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL User - Rizal Muhsin - Ke Resto Bareng Ortu - Metafiber,0%,"IDR 3,049.00",24,14,3,3,3,0,524,IDR 0.00,58.3333333333%,21.4285714286%,12.5%,0%,0%,⬛️⬛️⬛️ F,🟢🟢 Very Good,🟡 Neutral,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL Expert - Milla Health Coach - Gerakan Olahraga Anti Diabetes - Metafiber,0%,"IDR 19,844.00",336,119,11,3,1,0,338,IDR 0.00,35.4166666667%,9.243697479%,0.8928571429%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🔴 Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL Expert - Julia Health Coach - Gerakan Anti Lonjakan Gula Darah - Metafiber,0%,"IDR 5,916.00",75,32,3,1,1,0,338,IDR 0.00,42.6666666667%,9.375%,1.3333333333%,0%,0%,⬛️⬛️⬛️ F,🟢 Good,🔴 Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
