Judul Ads,Grade Score - V3,Ad Spend,Impressions,3s View,50% View,Link Click,LP View,Conversions,Campaign Conversions,Revenue,Hook Quality,Content Quality,Clickability,LP Match Rate,RoAS CC,Ads Grade - V3,Hook Grade,Content Grade,Video Clickability Grade,LP Match Grade (REVISI),Offer Quality Grade,Reported V3
Talent - Jessica - Apa Itu Superfood (Hook dr. Raphael) - Superfood,14.9659863946%,"IDR 3,081,881.00","28,641","9,274",867,433,243,22,147,"IDR 867,000.00",32.3801543242%,9.3487168428%,1.5118187214%,9.0534979424%,28.1321699313%,🟩🟩🟩 A,🟡 Neutral,🔴 Bad,🔴🔴 Very Bad,🟢 Good,🟡 Neutral,Reported
Talent - Heru & Nunu - Dapatkan Hadiah Dari mGanik - Metafiber,14.7859922179%,"IDR 2,696,026.00","43,713","12,339","1,786",628,314,38,257,IDR 0.00,28.227300803%,14.474430667%,1.4366435614%,12.101910828%,0%,🟩🟩🟩 A,🟡 Neutral,🟡 Neutral,🔴🔴 Very Bad,🟢🟢 Very Good,🔴🔴 Very Bad,Reported
Talent - Nunu - Gejala Gatal-Gatal - Metafiber,14.4124168514%,"IDR 5,225,627.00","133,025","34,365","3,445","1,569",706,65,451,"IDR 897,000.00",25.8334899455%,10.0247344682%,1.1794775418%,9.2067988669%,17.1654042663%,🟩🟩🟩 A,🟡 Neutral,🔴 Bad,🔴🔴 Very Bad,🟢 Good,🔴 Bad,Reported
25° - KOL Expert - dr. Rochelle Siem - Superfood,13.8157894737%,"IDR 2,914,878.00","50,242","13,785","4,151","1,053",452,21,152,"IDR 299,000.00",27.437203933%,30.1124410591%,2.0958560567%,4.6460176991%,10.257719191%,🟩🟩🟩 A,🟡 Neutral,🟢 Good,🔴🔴 Very Bad,🟡 Neutral,🔴🔴 Very Bad,Reported
25° KOL Caregiver - Satrio Ojon - Superfood,13.8157894737%,"IDR 1,768,079.00","44,497","18,928","3,219","1,081",300,21,152,IDR 0.00,42.5376991707%,17.0065511412%,2.4293772614%,7%,0%,🟩🟩🟩 A,🟢🟢 Very Good,🟡 Neutral,🔴🔴 Very Bad,🟢 Good,🔴🔴 Very Bad,Reported
Pufi - Lydia Kandou - Kalo Darah Tinggi & Kolesterol? (Cutdown Short Movie) - 3Peptide,12.6213592233%,"IDR 2,613,789.00","64,464","20,542","2,432",763,382,26,206,IDR 0.00,31.8658476049%,11.8391587966%,1.1836063539%,6.8062827225%,0%,🟩🟩🟩 A,🟡 Neutral,🔴 Bad,🔴🔴 Very Bad,🟢 Good,🔴🔴 Very Bad,Reported
Talent - Jessica - Cara Menurunkan Tensi - 3Peptide,12.2159090909%,"IDR 4,835,244.00","104,838","23,358","3,420","1,215",641,43,352,"IDR 1,050,000.00",22.2800892806%,14.6416645261%,1.158930922%,6.7082683307%,21.7155535481%,🟩🟩🟩 A,🔴 Bad,🟡 Neutral,🔴🔴 Very Bad,🟢 Good,🔴 Bad,Reported
Pufi - Vina Panduwinata - Pesen mGanik di Mitra Outlet mGanik - Metafiber,12.1495327103%,"IDR 1,385,360.00","21,418","4,890","1,689",326,192,39,321,"IDR 598,000.00",22.8312634233%,34.5398773006%,1.5220842282%,20.3125%,43.1656753479%,🟩🟩🟩 A,🔴 Bad,🟢 Good,🔴🔴 Very Bad,🟢🟢 Very Good,🟡 Neutral,Reported
No Talent - BARU! Metafiber Leci Kemasan Sachet - Metafiber,12.0622568093%,"IDR 2,535,885.00","50,239",0,0,576,316,31,257,"IDR 1,213,000.00",0%,,1.1465196361%,9.8101265823%,47.8333993852%,🟩🟩🟩 A,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,🟢 Good,🟢 Good,Reported
KOL Expert - (Ad Code) Ryan Winalda - Metafiber,11.8343195266%,"IDR 4,683,858.00","178,541","83,232","6,659","2,207",842,40,338,"IDR 887,000.00",46.617863684%,8.0005286428%,1.2361306367%,4.7505938242%,18.9373802536%,🟩🟩🟩 A,🟢🟢 Very Good,🔴 Bad,🔴🔴 Very Bad,🟡 Neutral,🔴 Bad,Reported
